ID	Linjat			Eteneminen			Mielipiteet																													Ongelmanratkaisutaidot					Suunnitelmat		
	ScratchJr	Scratch	Racket	ScratchJr	Scratch	Racket	Ohjelmoinnin opettaminen on hyödyllistä työni kannalta	Ohjelmoinnin opettaminen auttaa minua suoriutumaan työstäni nopeammin	Ohjelmoinnin opettaminen tekee opetuksestani tehokkaampaa	Jos opetan ohjelmointia, onnistun työssäni paremmin	Ohjelmoinnin opettamisen osaaminen monipuolistaa opettajuuttani	Ohjelmoinnin opettamisen osaaminen parantaa työllistymistäni.	Ohjelmoinnin opetukseni tulee olemaan selkeää ja ymmärrettävää	Minusta tulee helposti taitava ohjelmoinnin opettaja	Minusta ohjelmoinnin opettaminen on helppoa	Ohjelmoinnin opettamisen oppiminen on minulle helppoa	Ohjelmoinnin opettamista tarvitaan peruskoulussa	Ohjelmoinnin opetus tekee työstäni mielenkiintoisempaa	Ohjelmoinnin opettaminen on hauskaa	Pidän ohjelmoinnin opettamisesta	Minulle tärkeiden ihmisten mielestä minun tulisi opettaa ohjelmointia	Käyttäytymiseeni vaikuttavien ihmisten mielestä minun tulisi opettaa ohjelmointia	Tämän kurssin opettajat ovat avuksi ohjelmoinnin opettamisen oppimisessa	Työpaikallani suhtaudutaan positiivisesti ohjelmoinnin opetukseen	Työpaikallani on tarvittavat välineet ohjelmoinnin opetukseen	En voi hyödyntää ohjelmointia muussa opetuksessa	Minulla on riittävät tiedot ohjelmoinnin opettamiseen.	Saan tarvittaessa tukea työyhteisöstäni, jos minulla on ongelmia ohjelmoinnin opettamisessa	Minulla voi olla vaikeuksia selittää, miksi ohjelmointia kannattaa tai ei kannata opettaa oppilaille	Pyrin käyttämään uutta teknologiaa opetuksessani aina kun se on mahdollista.	Epäröin opettaa ohjelmointia, koska saatan opettaa sitä väärin	Minua pelottaa ajatella, että voin menettää paljon tietoja jos painan väärää nappia.	Tunnen ahdistusta ohjelmoinnin opettamista kohtaan	Ohjelmoinnin opettaminen on minulle vierasta ja pelottavaa	Olen halukas esittelemään ohjelmointia koulullani	”vaikka paikalla ei olisi ketään ohjeistamassa”	”jos voin soittaa apua ongelmatapauksissa”	”jos minulla on runsaasti aikaa perehtyä ongelmaan”	”jos minulla on käytettävissäni apua tai tukea”	ei mikään ylläolevista lauseista	Tarkoitukseni on opettaa ohjelmointia	Voisin kuvitella opettavani ohjelmointia	Suunnitelmissani on opettaa ohjelmointia
303	1	4	1		8	1	5	3	4	5	5	4	4	5	5	5	5	5	5	5	4	4	5	5	5	2	4	5	4	4	1	1	1	1	5	1		3	4		1	1	1
157	1	1	2	1	2	3	5	5	3	5	5	5	3	2	1	1	5	5	5	5	5	5	5	5	5	1	1	3	3	5	5	1	2	2	5			3	4		24	22	36
153	1	4	2	1	7	3	3	1	2	3	4	3	4	2	3	2	5	2	4	3	3	3	5	4	4	2	2	3	1	5	1	1	1	3	4		2	3	4		0	0	0
185	1	4	1		8	1	4	3	3	4	5	5	4	4	3	3	5	5	4	3	4	4	5	5	4	4	5	5	1	4	1	2	1	1	5	1	2				2	0	2
214	1	1	2	1		2	4	3	4	3	4	2	3	4	4	4	5	4	4	3	3	3	4	5	5	2	4	4	2	5	2	1	1	1	5				4		12	12	0
242	4	1	1	8		1	3	2	4	4	4	4	3	2	2	4	4	4	3	3	2	3	5	3	2	2	2	4	4	4	3	2	3	3	3			3	4		12	6	12
95	3	4	1	6	8	1	5	1	4	5	5	5	4	2	2	2	4	5	5	3	5	5	5	2	4	1	4	1	1	4	1	4	2	2	5	1		3	4		4	1	4
45	1	1	4	1	2	3	4	1	2	2	5	2	4	2	3	2	1	3	3	3	3	3	5	4	4	2	2	5	4	4	2	1	4	2	2	1		3	4		24	24	24
11	1	4	1		7	1	1	1	1	1	1	1	3	3	3	2	5	4	4	3	3	3	3	3	3	5	2	3	4	5	2	1	1	2	4				4		0	12	0
184	1	1	4		1	8	3	2	2	3	4	4	2	3	1	2	4	4	3	3	3	3	3	2	1	1	2	4	1	4	2	1	2	2	1		2	3	4		20	20	20
241	4	1	1	8	1		4	3	4	3	5	5	4	4	4	4	5	4	4	5	3	3	5	5	5	1	4	5	1	5	1	2	1	2	3		2	3	4		2	1	2
245	1	1	4		1	8	5	1	3	5	5	5	3	2	2	3	5	5	4	3	3	3	5	2	2	1	4	2	1	4	1	1	4	1	4			3	4		1	1	1
248	4	2	1	8	3	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	4	5	1	5	2	1	5	1	1	1	1	5	1					0	0	0
88	1	3	4	1	4	8	4	3	3	4	5	3	4	4	4	3	4	4	4	4	5	4	5	5	4	2	5	5	4	5	1	1	1	3	4	1		3	4		0	0	0
48	4	4	1	8	7	1	3	3	3	3	4	3	3	2	3	4	5	3	3	3	2	2	5	2	4	3	2	4	2	5	3	2	2	4	4	1		3			0	0	0
315	1	3	1		5	1	3	2	3	3	4	1	4	2	4	4	4	4	4	4	3	3	4	2	4	2	2	3	2	4	2	1	1	2	2	1					6	6	6
50	1	4	1	2	8	1	4	2	2	2	5	1	4	3	4	4	4	4	4	4	2	2	5	5	4	2	3	5	2	4	1	2	1	1	4	1	2	3	4		1	1	1
141	1	4	1	1	8	2	4	2	3	1	4	2	2	4	3	2	4	4	4	3	2	1	4	4	2	1	4	5	2	5	2	2	1	2	4	1	2		4		3	3	3
188	2	4	2		8	1	4	4	4	4	5	5	5	5	5	1	4	5	5	4	3	3	5	3	4	2	5	2	1	4	1	1	1	1	5	1		3			6	6	6
231	1	4	1	1	8		4	2	4	4	5	4	5	4	5	5	4	5	5	4	2	2	5	4	5	2	4	4	2	4	1	1	1	1	4	1		3	4		0	0	0
78	4	1	1	7		1	4	4	4	4	4	1	4	4	4	4	5	4	4	4	4	3	4	5	4	1	4	4	1	4	1	1	1	1	4	1					0	0	0
165	2	1	1	2		1	4	3	4	2	5	1	2	2	1	1	5	4	5	2	4	3	2	5	4	2	1	4	3	4	2	1	1	1	2				4		2	2	2
208	1	1	4	1		3	3	2	1	2	4	3	2	3	3	4	2	3	3	3	1	1	3	4	5	2	1	3	5	2	4	1	4	3	2			3			12	12	12
108	1	4	1	1	8		4	3	3	3	4	4	3	3	3	2	4	3	3	3	3	3	4	2	4	2	4	1	4	4	2	2	3	2	4			3			10	4	10
244	1	1	2		1	2	4	3	3	3	4	3	3	3	2	3	4	3	4	4	4	3	4	4	4	2	4	4	2	5	2	1	1	1	4	1					1	0	1
23	1	4	1		8	1	4	3	4	4	5	3	4	3	4	4	5	5	4	4	3	4	4	5	5	2	4	4	2	5	2	2	2	2	3	1	2	3	4		2	2	2
124	4	3	1	3		1	4	2	4	4	5	4	3	2	3	2	4	5	3	3	3	3	4	4	2	2	1	4	2	4	3	2	1	4	2		2	3	4		9	9	9
29	4	4	2		8	1	5	2	2	4	1	5	1	4	5	5	4	5	1	5	5	5	5	5	5	3	1	5	1	5	1	1	1	1	5	1					0	0	0
263	1	4	1		8	1	3	3	2	4	4	2	4	4	4	4	4	4	5	5	3	3	4	3	4	2	4	3	2	4	1	2	1	2	5	1					2	2	2
236	1	4	1		8	1	4	3	3	3	4	3	3	2	2	2	3	4	4	3	2	3	4	3	4	2	2	3	4	4	3	4	2	3	4	1	2	3	4		8	8	8
123	1	4	1	2	8	1	4	2	2	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	5	4	4	2	4	4	2	4				4		3	3	3
313	1	4	1		8	1	4	3	3	3	4	4	4	3	3	3	3	4	4	4	3	3	5	4	4	2	3	4	3	4	2	1	2	2	4	1	2	3	4		1	1	1
156	4	2	1	8		1	3	3	3	4	4	3	4	2	4	2	4	4	4	4	4	4	3	4	4	2	4	1	4	5	2	2	1	1	4	1		3			1	1	1
90	1	4	1		8	1	4	2	4	5	5	3	5	5	4	4	4	4	4	4	5	5	5	4	4	2	4	4	2	4	1	1	1	1	4	1	2	3	4		9	1	9
298	1	3	1		4	1	2	2	2	4	4	4	2	3	3	2	3	3	3	3	1	2	4	2	2	2	1	2	2	4	4	4	4	4	2				4		8	2	8
265	1	2	4		1	8	5	2	2	4	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	2	5	2	1	4	1	1	1	1	5	1		3	4		0	0	0
69	1	1	3		1	4	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	4	3	1	4	3	5	2	2	3	3	4			3	4		19	12	8
1	1	4	1	1	8		4	2	2	2	5	5	4	2	4	4	2	4	4	4	2	4	5	4	4	1	4	1	4	4	2	4	2	2	4			3			0	0	0
104	4	4	1	7	8	1	5	4	4	4	5	4	5	5	5	5	5	4	5	5	5	4	5	4	2	1	5	3	1	5	1	1	1	1	5	1		3			0	0	0
41	3	4	1	4	8	1	5	3	4	4	5	3	3	4	3	4	5	5	4	4	5	5	5	4	5	1	5	4	1	5	1	1	1	1	5	1		3	4		1	1	1
240	4	4	1	8	7	1	3	1	2	1	2	1	3	1	4	4	4	4	5	4	3	3	3	5	4	1	4	4	2	4	2	2	1	2	2			3	4		1	1	1
79	4	1	1	8	1		4	3	3	4	5	4	4	2	4	4	5	4	4	4	5	5	5	5	5	2	4	5	2	3	1	4	1	1	2	1	2	3	4		1	1	1
7	4	3	1	8	2	1	4	2	4	4	5	3	4	4	4	5	4	5	5	5	4	3	5	2	5	1	4	1	1	5	1	1	1	1	4	1		3	4		0	0	0
169	1	4	1		3	1	2	1	3	3	5	5	4	4	3	4	4	3	4	4	1	1	4	3	2	2	1	3	4	5	4	2	1	2	4	1		3			9	9	9
257	1	1	4	1		6	4	3	3	3	3	3	3	4	3	4	4	3	4	4	5	4	3	2	2	4	2	2	3	4	3	1	3	2	4	1		3	4		0	0	0
57	1	1	4	2	1	3	3	3	3	3	4	1	3	3	3	4	2	3	3	3	3	4	2	4	3	3	3	2	3	5	2	1	4	3	2			3			18	18	18
252	4	1	1	8	1		4	3	3	1	4	3	4	1	2	1	4	3	4	4	1	1	4	4	4	1	2	3	2	2	3	4	4	4	1			3	4		1	1	1
226	4	2	1	8		1	4	2	3	4	4	2	4	2	2	2	4	4	4	4	2	2	5	4	4	2	4	2	4	2	2	2	2	2	2		2	3	4		1	0	1
86	1	1	4		1	8	4	1	2	1	4	3	4	3	4	4	2	4	4	3	3	3	5	4	5	2	4	2	2	5	2	1	1	1	4		2	3			8	2	8
100	1	4	2	1	8	1	3	3	3	3	3	1	3	3	3	3	4	3	3	3	3	3	4	4	5	1	3	5	1	5	1	5	1	2	5		2	3	4		8	2	8
145	2	3	4	1	1	8	4	3	4	4	5	4	5	4	4	4	4	5	4	5	4	4	4	4	4	1	5	5	2	5	1	1	1	1	4	1		3	4		18	18	18
234	1	4	2	1	8	4	4	1	2	2	5	5	2	4	2	2	2	4	3	3	3	2	4	2	1	4	4	4	2	4	1	1	5	2	4	1	2	3	4		8	8	8
99	1	1	3	1	1	4	4	1	1	1	2	4	4	4	3	3	3	3	4	3	1	1	4	2	5	2	3	5	2	4	1	1	1	2	4	1		3	4		8	8	8
87	2	3	1	2	5	1	3	3	1	1	4	3	1	1	3	2	4	4	3	3	3	1	3	2	3	5	1	1	4	5	4	1	3	3	1				4		0	0	0
43	4	4	4	8	8	8	4	2	1	4	5	4	4	5	3	5	4	5	4	4	3	3	5	5	2	1	4	4	4	5	1	1	1	1	5	1		3			8	8	8
307	1	1	3	1	1	8	4	2	4	4	4	3	4	2	3	4	3	4	4	3	4	2	5	2	2	2	2	3	2	2	1	1	1	2	4	1		3			12	8	12
144	1	4	2	1	8	2	3	2	2	4	5	4	2	3	2	3	4	3	4	4	4	4	4	5	2	2	2	4	4	2	2	1	2	2	4	1		3			8	6	8
211	3	4	1	7	8	1	4	4	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	4	4	1	5	4	2	5	1	1	1	1	4	1	2	3	4		1	1	1
253	4	3	2	8	5	3	4	3	4	4	5	5	4	4	4	4	4	4	4	5	5	5	5	4	2	1	5	2	5	5	2	1	1	1	5	1			4		1	0	1
209	1	4	1	1	8	1	3	2	2	4	5	5	2	2	4	3	4	3	4	3	3	3	3	5	5	1	4	5	2	4	4	2	4	2	2			3	4		1	1	1
58	4	1	1	8	1	1	5	3	3	4	5	4	4	3	4	4	5	5	5	5	3	3	5	4	5	1	4	5	1	5	1	1	1	1	5	1	2	3	4		0	0	0
223	4	2	1	8	1	1	4	2	2	4	5	4	3	5	4	5	4	4	5	4	5	5	3	1	4	1	4	2	2	5	1	1	1	1	4	1		3			1	1	1
75	1	1	4	1	1	6	3	1	2	2	4	3	3	3	4	4	4	4	5	5	5	5	4	2	2	2	4	1	4	5	1	1	1	1	4	1		3			2	0	0
143	1	1	4	1	1	8	3	3	3	3	5	5	4	3	3	3	2	4	3	3	4	4	5	3	4	3	4	3	2	5	2	1	3	4	3	1					21	15	21
10	1	1	4	1	1	8	4	1	3	2	4	2	3	3	3	3	4	4	4	4	4	3	5	3	4	2	4	3	4	2	2	1	2	2	3			3	4		8	8	8
126	4	2	1	8	1	1	4	2	2	4	5	5	4	5	5	5	4	5	5	5	5	5	4	3	5	1	4	2	1	5	1	1	1	1	5	1					0	0	0
311	4	1	1	8	1	1	4	2	3	4	4	2	4	4	2	4	4	3	4	5	3	3	4	2	5	1	3	2	2	4	1	1	1	2	4	1	2	3	4		2	2	2
66	2	2	1	1	1	1	5	1	3	4	5	1	3	3	3	3	5	2	3	3	1	1	4	3	1	3	1	1	5	4	4	1	1	4	2				4		7	7	7
206	1	4	1	1	8	1	2	1	2	1	5	5	2	3	3	4	3	3	3	3	3	3	4	3	4	2	3	2	4	4	2	1	2	2	5			3	4		6	6	6
14	3	3	4	7	7	8	4	3	3	3	5	4	4	3	4	4	4	4	4	3	4	4	5	3	2	2	4	2	2	4	2	4	2	2	3			3	4		8	0	4
103	1	4	3	1	8	3	5	1	3	4	5	3	4	4	4	4	5	4	4	4	4	4	5	4	4	1	4	1	2	5	1	2	1	1	5		2	3	4		2	2	2
196	1	1	4	1	1	8	4	3	3	3	5	5	5	3	3	3	4	4	3	3	3	3	5	4	3	1	2	4	2	4	4	2	2	2	2			3	4		8	8	8
111	1	1	4	1	1	8	4	1	3	4	5	5	3	1	1	1	3	2	3	3	3	3	5	5	4	2	1	4	4	3	4	1	4	2	2	1	2	3	4		8	8	8
52	4	2	1	8	1	1	4	2	3	3	4	4	4	3	4	4	4	4	4	4	4	3	4	4	2	2	5	1	3	5	2	2	2	2	4	1			4		1	1	1
114	4	1	1	8	1	1	4	2	2	2	4	4	3	3	4	4	4	4	4	4	3	3	4	3	2	2	2	3	2	4	2	4	2	2	4		2		4		6	6	0
71	3	3	4	7	7	8	5	1	4	5	5	5	3	3	2	2	5	4	4	4	4	3	5	3	4	1	3	2	1	4	2	1	2	1	5	1		3	4		1	1	1
159	2	4	1	1	8	1	3	1	2	2	4	3	3	2	3	2	2	3	4	3	3	3	5	3	3	2	3	4	2	1	4	4	2	4	4	1	2	3	4		0	1	0
142	4	1	1	8	1	1	4	2	3	3	4	4	5	3	4	4	4	3	4	3	3	4	4	4	3	1	4	4	3	3	2	2	2	2	2			3			1	0	1
198	2	4	1	1	8	1	4	3	4	3	4	3	4	3	2	2	4	4	4	3	3	3	4	2	4	2	4	2	4	4	2	2	4	3	2				4		6	2	6
309	1	4	2	1	8	3	4	3	3	3	4	3	3	3	4	4	4	4	4	4	3	3	5	3	4	3	4	1	4	5	2	1	2	1	4	1	2	3	4		19	8	19
47	4	1	1	8	1	1	4	4	4	4	5	5	4	4	4	4	4	4	5	4	4	4	5	4	4	2	4	2	2	5	2	2	2	2	5	1		3			1	1	1
140	1	1	4	1	1	3	4	3	2	3	5	4	4	2	3	2	4	4	4	4	4	4	4	3	4	1	2	4	3	4	1	1	1	1	4	1	2	3	4		18	6	18
261	2	4	1	1	8	1	5	4	4	4	5	5	3	4	4	2	5	3	4	4	4	4	5	4	4	1	4	4	4	4	1	1	1	1	5	1		3	4		1	1	1
167	1	4	1	1	8	1	3	2	3	3	5	3	3	3	4	3	4	4	4	4	3	3	5	2	4	3	4	2	2	4	2	2	3	3	4	1		3	4		1	1	1
270	3	2	1	5	1	1	3	3	2	1	4	1	2	3	3	3	4	3	2	3	1	1	4	4	2	3	1	4	3	2	3	4	4	3	2			3	4		0	0	0
49	3	3	2	4	2	2	4	3	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	3	4	2	3	4	3	4	2	2	2	2	3		2	3	4		1	1	1
294	2	4	2	1	8	1	5	4	4	3	5	5	5	4	4	4	4	5	5	5	5	4	5	5	5	2	4	4	4	5	1	1	1	1	5	1		3			2	1	2
256	1	4	1	1	7	1	2	1	1	3	5	3	3	2	2	1	2	4	4	3	1	1	1	3	3	4	3	3	4	4	3	2	3	3	1			3	4		2	2	2
53	1	1	2	1	1	1	4	1	2	4	5	4	2	2	2	3	4	5	5	4	3	3	5	4	4	2	4	1	2	5	4	1	4	4	3	1	2	3	4		9	9	9
197	1	4	2	1	8	2	4	2	4	3	5	1	3	4	4	4	2	5	4	4	1	1	5	2	2	2	3	1	2	4	2	1	1	1	5	1					1	1	1
216	1	1	4	1	1	8	2	3	2	3	4	3	4	2	3	2	4	4	3	3	3	3	5	4	2	3	4	2	3	2	4	1	4	4	4				4		2	2	2
268	2	1	1	4	1	1	4	3	2	3	4	3	3	2	2	2	4	4	4	4	3	4	4	4	1	2	1	3	2	3	4	2	2	2	2			3	4		2	2	2
8	1	1	3	1	1	4	4	4	3	3	4	2	4	4	3	3	3	4	4	4	3	3	4	2	3	2	4	2	2	4	1	1	1	1	2		2				24	4	24
127	2	1	1	2	1	1	4	3	3	3	5	4	3	3	3	2	4	5	4	4	4	1	5	5	5	1	2	5	3	4	2	1	2	1	4				4		10	10	12
110	1	1	2	1	1	2	3	1	2	4	4	3	1	1	2	1	3	2	2	2	3	5	4	4	4	3	1	5	4	2	1	1	5	5	1		2	3	4		18	18	18
162	1	1	4	1	1	8	5	3	3	5	5	5	5	4	5	4	5	4	4	5	5	4	5	3	4	2	5	4	1	4	1	1	1	1	4	1	2	3	4		0	0	0
316	1	4	2	1	8	1	5	1	4	5	5	4	4	5	5	5	5	5	5	5	5	4	5	5	5	1	5	5	1	5	1	1	1	1	5	1					1	1	1
180	1	1	3	1	1	8	1	3	2	2	1	2	2	3	2	4	1	2	2	2	2	2	2	2	2	4	3	2	3	2	3	4	4	4	1		2	3	4		2	3	1
189	1	1	4	1	1	8	4	2	3	3	4	4	4	4	4	4	3	4	4	4	3	3	4	3	1	2	4	2	2	4	2	2	5	2	2	1		3	4		18	0	18
136	1	1	4	1	1	4	4	1	2	2	5	5	4	4	1	2	1	5	4	4	3	3	5	4	4	1	2	5	4	5	1	1	1	1	4	1			4		12	12	12
33	1	1	1	1	1	1	5	2	1	1	1	3	5	5	5	5	5	1	5	5	3	3	1	5	5	1	5	5	1	5	1	1	1	1	1	1					2	2	2
83	4	1	1	8	1	1	5	3	4	4	5	5	3	3	4	4	5	4	5	5	3	2	5	5	5	1	4	5	1	4	1	1	1	1	5	1	2	3	4		1	0	1
178	4	2	1	8	1	1	5	1	3	4	5	4	4	4	4	4	4	4	5	5	3	4	5	4	5	2	4	4	2	4	1	2	2	1	4		2	3	4		1	1	1
116	4	4	1	8	8	1	3	2	3	3	4	3	4	3	4	2	4	3	5	5	4	4	4	4	2	2	4	3	2	5	1	1	1	1	4	1	2	3	4		1	1	1
129	1	3	1	1	5	1	4	3	3	2	3	4	3	3	3	3	4	4	4	3	4	4	4	4	4	3	2	2	4	4	3	3	3	3	3			3	4		2	2	2
297	1	4	1	1	8	1	4	2	3	3	5	4	4	4	3	4	4	5	3	3	4	4	4	4	2	2	4	2	2	4	2	2	2	2	4	1		3	4		12	0	12
31	1	1	4	1	1	4	3	2	2	2	4	3	3	3	3	2	3	3	4	3	4	4	4	4	4	3	2	4	2	5	2	1	1	3	3			3	4		5	5	5
																																											
																																											
	1 = en lainkaan			1 = en suorittanut yhtään viikkoa			1 = 1 = Täysin eri mieltä																													1 = ”vaikka paikalla ei olisi ketään ohjeistamassa”							
	2 = kevyesti			2 = 1 viikkojaksoa			2 = 2 = Osittain eri mieltä																													2 = ”jos voin soittaa apua ongelmatapauksissa”							
	3 = jonkin verran			3 = 2 viikkojaksoa			3 = 3 = En osaa sanoa																													3 = ”jos minulla on runsaasti aikaa perehtyä ongelmaan”							
	4 = perusteellisesti			4 = 3 viikkojaksoa			4 = 4 = Osittain samaa mieltä																													4 = ”jos minulla on käytettävissäni apua tai tukea”							
				5 = 4 viikkojaksoa			5 = 5 = Täysin samaa mieltä																													5 = ei mikään ylläolevista lauseista							
				6 = 5 viikkojaksoa																																							
				7 = 6 viikkojaksoa																																							
				8 = diplomityöhön asti																																							
